100_25_1;27205.0;27205.0;0.0;0.77;172.0;1
100_25_2;3615.0;3615.0;0.0;0.61;17.0;1
100_25_3;30655.0;30655.0;0.0;0.17;1.0;1
100_25_4;9413.0;9413.0;0.0;0.56;163.0;1
100_25_5;21637.0;21637.0;0.0;0.5;91.0;1
100_25_6;25607.0;25607.0;0.0;0.86;144.0;1
100_25_7;11016.0;11016.0;0.0;0.48;38.0;1
100_25_8;15567.0;15567.0;0.0;0.4;1.0;1
100_25_9;14549.0;14549.0;0.0;0.91;179.0;1
100_25_10;2788.0;2788.0;0.0;2.68;331.0;1
100_25_1;27205.0;27205.0;0.0;0.79;172.0;1
100_25_2;3615.0;3615.0;0.0;0.57;17.0;1
100_25_3;30655.0;30655.0;0.0;0.16;1.0;1
100_25_4;9413.0;9413.0;0.0;0.48;163.0;1
100_25_5;21637.0;21637.0;0.0;0.46;91.0;1
100_25_6;25607.0;25607.0;0.0;0.74;144.0;1
100_25_7;11016.0;11016.0;0.0;0.47;38.0;1
100_25_8;15567.0;15567.0;0.0;0.38;1.0;1
100_25_9;14549.0;14549.0;0.0;0.84;179.0;1
100_25_10;2788.0;2788.0;0.0;2.44;331.0;1
